question_number,question_text,prompt,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation,image_name,image_caption,difficulty,topic,module,date,region,test_number,test_name,subject,has_image_choices
1,"A jar has 310 buttons, and 20% of these buttons are green. How many buttons in the jar are green?",,202503asiav1 (1)_page24_img1.png,202503asiav1 (1)_page24_img2.png,202503asiav1 (1)_page24_img3.png,202503asiav1 (1)_page24_img7.png,,,,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,yes
2,"The solution to a system of linear equations is (5, 5). Which of the following could be the graph of the equations in the system? A) B) C) D)",,,,,,,,q2-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
3,"The scatterplot shows the relationship between two variables, x and y. A line of best fit is also shown. Which of the following equations best represents the line of best fit shown?",,y = 0.6 + 1.5x,y = 0.6 - 1.5x,y = - 0.6 + 1.5x,y = - 0.6 - 1.5x,,,q3-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
4,"y = - 0.5 y = x² + 8x + a In the given system of equations, a is a positive integer constant. The system has no real solutions. What is the least possible value of a?",,,,,,,,q4-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
5,"The width of a rectangle is 8 centimeters. The length of the rectangle is 50 centimeters longer than the width. What is the area, in square centimeters, of this rectangle?",,8,16,66,464,,,q5-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
6,"6x +27 = 6x +k In the given equation, k is a constant. The equation has infinitely many solutions. What is the value of k?",,,,,,,,q6-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
7,"The graph shows the height above ground, in meters, of a ball x seconds after the ball was launched upward from a platform. Which statement is the best interpretation of the marked point (1.0, 3.9) in this context?",,"1.0 second after being launched, the ball's height above ground is 3.9 meters","3.9 seconds after being launched, the ball's height above ground is 1.0 meter",The ball was launched from an initial height of 1.0 meter with an initial velocity of 3.9 meters per second.,The ball was launched from an initial height of 3.9 meters with an initial velocity of 1.0 meter per second.,,,q7-graph.png,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
8,The function f is defined by f(x)= 3x – 1/4 . What is the y-intercept of the graph of y= f(x) in the xy-plane?,,"(0, -1/4)","(0, -3)","(0, 3)","(0, 4)",,,,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
9,Which of the following lists represents a data set with the smallest standard deviation?,,"72,73, 75, 77, 78","73,73, 75, 77,77","73, 74, 75, 76, 77","74,75, 75, 75, 76",,,,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
10,Math question 10,,,,,,,,,,medium,math,Math Module 1,2025-03,Asia,1,2025-03 Asia Test 1,Math,no
